fold,epoch,train_loss,valid_loss,mcrmse,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0,1,0.33393326,0.123759665,0.4989957,0.5634069,0.4859125,0.50373894,0.46936664,0.48930848,0.48224095
0,2,0.11318356,0.107200295,0.46442854,0.4932533,0.4475282,0.43701166,0.4678852,0.48350438,0.45738858
0,3,0.09999945,0.106056616,0.46147868,0.49758208,0.44048694,0.43807992,0.45830768,0.47322267,0.4611927
0,4,0.09163716,0.10354231,0.45604673,0.48154604,0.44288933,0.4386706,0.4470514,0.47244143,0.4536816
1,1,0.3370407,0.12313911,0.49793658,0.5095044,0.5377048,0.45246208,0.48876673,0.5403502,0.45883107
1,2,0.1138914,0.11233553,0.47484672,0.5159012,0.45578665,0.41943547,0.46445146,0.49394166,0.4995638
1,3,0.10071089,0.107549794,0.4646305,0.4985091,0.4647491,0.41168624,0.4760865,0.47465163,0.46210054
1,4,0.092949316,0.10377826,0.45623007,0.497061,0.45025218,0.4099597,0.46250808,0.47629994,0.44129935
2,1,0.3382691,0.11179151,0.47372842,0.49469507,0.46858847,0.43207085,0.4638291,0.5289659,0.45422113
2,2,0.11474732,0.1057992,0.46067753,0.49300027,0.4532749,0.41773692,0.45688078,0.47993255,0.46323964
2,3,0.100960664,0.10378398,0.45604253,0.49102402,0.45366988,0.40860686,0.46084142,0.47935435,0.44275868
2,4,0.09229273,0.10138504,0.45081356,0.47987577,0.45122156,0.40752652,0.45464152,0.47210133,0.43951458
3,1,0.33087385,0.110987976,0.47202578,0.5342571,0.44508484,0.44337603,0.46831816,0.48521915,0.45589948
3,2,0.11557911,0.10385909,0.45659125,0.48794076,0.45178774,0.41503194,0.46288678,0.47135317,0.45054713
3,3,0.10219068,0.10048284,0.44892442,0.48241222,0.43784517,0.4111474,0.44958314,0.46656272,0.44599602
3,4,0.09472199,0.100310065,0.44854555,0.4804713,0.43909562,0.41092852,0.45171395,0.46633828,0.44272542
